year,lok_sabha_number,state,constituency_number,constituency_name,constituency_type,_merge
2019,Seventeenth,West Bengal,42,Birbhum,General,both
2019,Seventeenth,West Bengal,41,Bholpur,Scheduled Caste,both
2019,Seventeenth,West Bengal,40,Asansol,General,both
2019,Seventeenth,West Bengal,39,Bardhaman Durgapur,General,both
2019,Seventeenth,West Bengal,38,Bardhaman Purba,Scheduled Caste,both
2019,Seventeenth,West Bengal,37,Bishnupur,Scheduled Caste,both
2019,Seventeenth,West Bengal,36,Bankura,General,both
2019,Seventeenth,West Bengal,35,Purulia,General,both
2019,Seventeenth,West Bengal,34,Midnapore,General,both
2019,Seventeenth,West Bengal,33,Jhargram,Scheduled Tribe,both
2019,Seventeenth,West Bengal,32,Ghatal,General,both
2019,Seventeenth,West Bengal,31,Kanthi,General,both
2019,Seventeenth,West Bengal,30,Tamluk,General,both
2019,Seventeenth,West Bengal,29,Arambagh,Scheduled Caste,both
2019,Seventeenth,West Bengal,28,Hooghly,General,both
2019,Seventeenth,West Bengal,27,Srerampur,General,both
2019,Seventeenth,West Bengal,26,Uluberia,General,both
2019,Seventeenth,West Bengal,25,Howrah,General,both
2019,Seventeenth,West Bengal,24,Kolkata Uttar,General,both
2019,Seventeenth,West Bengal,23,Kolkata Dakshin,General,both
2019,Seventeenth,West Bengal,22,Jadavpur,General,both
2019,Seventeenth,West Bengal,21,Daimond Harbour,General,both
2019,Seventeenth,West Bengal,20,Mathurapur,Scheduled Caste,both
2019,Seventeenth,West Bengal,19,Jaynagar,Scheduled Caste,both
2019,Seventeenth,West Bengal,18,Basirhat,General,both
2019,Seventeenth,West Bengal,17,Barasat,General,both
2019,Seventeenth,West Bengal,16,Dum Dum,General,both
2019,Seventeenth,West Bengal,15,Barrackpore,General,both
2019,Seventeenth,West Bengal,14,Bangaon,Scheduled Caste,both
2019,Seventeenth,West Bengal,13,Ranaghat,Scheduled Caste,both
2019,Seventeenth,West Bengal,12,Krishnanagar,General,both
2019,Seventeenth,West Bengal,11,Murshidabad,General,both
2019,Seventeenth,West Bengal,10,Berhampur,General,both
2019,Seventeenth,West Bengal,9,Jangipur,General,both
2019,Seventeenth,West Bengal,8,Maldaha Dakshin,General,both
2019,Seventeenth,West Bengal,7,Maldaha Uttar,General,both
2019,Seventeenth,West Bengal,6,Balurghat,General,both
2019,Seventeenth,West Bengal,5,Raiganj,General,both
2019,Seventeenth,West Bengal,4,Darjeeling,General,both
2019,Seventeenth,West Bengal,3,Jalpaiguri,Scheduled Caste,both
2019,Seventeenth,West Bengal,2,Alipurduars,Scheduled Tribe,both
2019,Seventeenth,West Bengal,1,Cooch Behar,Scheduled Caste,both
2019,Seventeenth,Uttarakhand,5,Hardwar,General,both
2019,Seventeenth,Uttarakhand,4,Nainital-Udhamsingh Nagar,General,both
2019,Seventeenth,Uttarakhand,3,Almora,Scheduled Caste,both
2019,Seventeenth,Uttarakhand,2,Garhwal,General,both
2019,Seventeenth,Uttarakhand,1,Tehri Garhwal,General,both
2019,Seventeenth,Uttar Pradesh,80,Robertganj,Scheduled Caste,both
2019,Seventeenth,Uttar Pradesh,79,Mirzapur,General,both
2019,Seventeenth,Uttar Pradesh,78,Bhadohi,General,both
2019,Seventeenth,Uttar Pradesh,77,Varanasi,General,both
2019,Seventeenth,Uttar Pradesh,76,Chandauli,General,both
2019,Seventeenth,Uttar Pradesh,75,Ghazipur,General,both
2019,Seventeenth,Uttar Pradesh,74,Machhalishahr,Scheduled Caste,both
2019,Seventeenth,Uttar Pradesh,73,Jaunpur,General,both
2019,Seventeenth,Uttar Pradesh,72,Balia,General,both
2019,Seventeenth,Uttar Pradesh,71,Salempur,General,both
2019,Seventeenth,Uttar Pradesh,70,Ghosi,General,both
2019,Seventeenth,Uttar Pradesh,69,Azamgarh,General,both
2019,Seventeenth,Uttar Pradesh,68,Lalganj,Scheduled Caste,both
2019,Seventeenth,Uttar Pradesh,67,Bansgaon,Scheduled Caste,both
2019,Seventeenth,Uttar Pradesh,66,Deoria,General,both
2019,Seventeenth,Uttar Pradesh,65,Kushi Nagar,General,both
2019,Seventeenth,Uttar Pradesh,64,Gorakhpur,General,both
2019,Seventeenth,Uttar Pradesh,63,Maharajganj,General,both
2019,Seventeenth,Uttar Pradesh,62,Sant Kabir Nagar,General,both
2019,Seventeenth,Uttar Pradesh,61,Basti,General,both
2019,Seventeenth,Uttar Pradesh,60,Domariaganj,General,both
2019,Seventeenth,Uttar Pradesh,59,Gonda,General,both
2019,Seventeenth,Uttar Pradesh,58,Shrawasti,General,both
2019,Seventeenth,Uttar Pradesh,57,Kaisarganj,General,both
2019,Seventeenth,Uttar Pradesh,56,Bahraich,Scheduled Caste,both
2019,Seventeenth,Uttar Pradesh,55,Ambedkar Nagar,General,both
2019,Seventeenth,Uttar Pradesh,54,Faizabad,General,both
2019,Seventeenth,Uttar Pradesh,53,Bara Banki,Scheduled Caste,both
2019,Seventeenth,Uttar Pradesh,52,Allahabad,General,both
2019,Seventeenth,Uttar Pradesh,51,Phulpur,General,both
2019,Seventeenth,Uttar Pradesh,50,Kaushambi,Scheduled Caste,both
2019,Seventeenth,Uttar Pradesh,49,Fatehpur,General,both
